Size,Bath,Bed,City_Lisboa,City_Oeiras,City_Other,City_Sintra,good_prop
105,2,5,0,0,1,0,1
109,1,3,0,0,1,0,1
256,2,3,0,0,1,0,1
180,1,1,0,0,1,0,1
154,4,7,0,0,1,0,0
52,1,1,0,0,1,0,1
137,1,3,0,0,1,0,1
75,1,2,0,0,1,0,1
64,1,2,0,0,1,0,1
57,2,3,0,0,1,0,1
80,1,3,0,0,0,1,1
32,1,1,0,0,1,0,1
70,1,3,0,0,1,0,1
60,1,2,0,0,1,0,1
106,2,3,0,0,1,0,1
48,1,2,1,0,0,0,1
123,2,4,0,0,1,0,1
65,1,2,0,0,0,1,1
81,1,2,0,0,0,1,1
55,1,1,0,0,1,0,1
80,2,2,0,0,0,0,1
101,1,2,0,0,1,0,1
70,1,2,0,0,1,0,1
36,1,1,0,0,1,0,1
84,1,2,0,0,0,1,1
100,2,2,0,0,1,0,1
85,1,3,0,0,0,1,1
101,2,3,0,0,0,1,1
101,1,2,0,0,1,0,1
59,1,2,0,0,1,0,1
46,2,2,1,0,0,0,1
57,1,2,0,0,1,0,1
73,1,2,0,0,0,1,1
78,1,2,0,0,0,1,1
42,1,1,0,0,1,0,1
72,1,2,0,0,0,1,1
65,1,2,0,0,0,1,1
65,1,2,0,0,0,1,1
65,1,2,0,0,0,1,1
50,1,1,0,0,0,1,1
92,2,3,0,0,1,0,1
65,2,2,0,0,1,0,1
87,2,3,0,0,1,0,1
132,2,3,0,0,0,1,1
52,1,2,1,0,0,0,1
71,1,2,0,1,0,0,1
49,1,1,1,0,0,0,1
71,1,2,0,0,1,0,1
71,1,2,1,0,0,0,1
80,2,3,0,0,1,0,1
55,1,1,1,0,0,0,1
60,1,2,0,1,0,0,1
66,1,2,0,0,1,0,1
